,surface,region,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
320,145.0,41,3,1,No,No,No,Yes,No,Yes,No,400000.0
321,67.0,58,2,1,No,No,No,No,No,No,No,140000.0
322,165.0,41,3,1,Yes,No,No,No,Yes,Yes,Yes,430000.0
323,168.0,41,4,2,Yes,No,No,No,Yes,Yes,Yes,440000.0
324,112.0,23,2,1,No,No,No,No,No,Yes,No,305000.0
325,80.0,58,2,1,Yes,No,No,No,No,No,No,145000.0
326,255.0,73,2,1,No,No,No,Yes,No,No,No,249998.0
327,108.0,52,2,1,No,No,No,Non,No,Yes,Yes,260000.0
328,50.0,12,1,1,No,No,No,No,No,No,No,220000.0
329,131.0,3,4,2,No,No,No,No,No,Yes,No,3200000.0
330,64.0,94,1,1,Yes,No,No,No,No,No,No,155000.0
331,175.0,23,3,3,Yes,No,No,No,No,No,Yes,650000.0
333,135.0,30,3,2,Yes,No,No,No,Yes,Yes,Yes,450000.0
334,120.0,34,2,1,Yes,No,No,No,Yes,Yes,No,235000.0
335,74.0,37,2,1,No,No,No,No,No,Yes,No,208000.0
336,42.0,42,1,1,Yes,No,No,No,No,Yes,Yes,168000.0
337,115.0,37,1,1,Yes,No,No,No,Yes,Yes,Yes,315000.0
338,120.0,42,2,1,No,No,No,No,Yes,Yes,No,290000.0
339,167.0,42,3,2,Yes,No,No,No,Yes,Yes,No,520000.0
340,100.0,61,2,1,No,No,No,No,No,No,No,120000.0
341,75.0,58,2,1,No,No,No,Yes,Yes,No,No,160000.0
342,154.0,32,3,2,No,No,No,No,No,Yes,Yes,415000.0
343,60.0,79,2,1,No,No,No,No,No,No,No,135000.0
344,40.0,9,1,1,No,No,No,No,Yes,Yes,Yes,162000.0
345,163.0,9,3,2,Yes,Yes,No,No,Yes,Yes,Yes,734000.0
346,123.0,9,2,2,Yes,Yes,No,No,Yes,Yes,Yes,578000.0
347,143.0,34,3,2,Yes,No,No,No,Yes,Yes,No,415000.0
348,300.0,42,2,1,Yes,No,No,No,Yes,Yes,No,275000.0
349,112.0,5,2,1,No,No,No,No,No,No,No,570000.0
350,85.0,76,2,1,Yes,No,No,No,No,No,No,120000.0
351,90.0,21,3,1,No,No,No,No,No,No,No,180000.0
352,73.5,88,2,1,No,No,No,No,No,Yes,No,125000.0
353,125.0,64,2,2,Yes,No,No,No,No,Yes,Yes,175000.0
354,485.0,12,3,2,No,No,No,No,No,No,No,900000.0
355,130.0,41,3,2,Yes,No,No,No,Yes,Yes,No,240000.0
356,74.0,17,1,1,No,No,No,No,Yes,Yes,Yes,180000.0
357,107.0,67,2,1,Yes,No,No,No,Yes,Yes,Yes,235000.0
358,103.0,89,2,1,Yes,No,No,No,No,Yes,No,120000.0
359,68.0,87,3,1,Yes,No,No,No,No,Yes,No,100000.0
361,94.0,68,2,1,Yes,No,No,No,No,No,Yes,200000.0
362,84.0,89,2,1,Yes,No,No,No,No,No,No,105000.0
363,103.0,87,3,1,No,No,No,No,No,No,No,135000.0
364,86.0,89,2,1,Yes,No,No,No,No,Yes,No,108000.0
365,84.0,89,3,1,Yes,No,No,No,No,Yes,No,103000.0
366,67.0,83,2,1,No,No,No,No,No,Yes,No,125000.0
367,130.0,16,3,2,Yes,No,No,No,No,No,No,375000.0
368,111.0,23,2,2,yes,No,No,No,No,!Yes,Yes,424000.0
369,160.0,16,3,2,Yes,No,No,No,No,No,No,580000.0
370,100.0,33,3,1,Yes,No,No,No,Yes,Yes,No,260000.0
371,80.0,17,3,1,Yes,No,No,No,Yes,Yes,Yes,250000.0
372,125.0,8,2,1,No,No,No,No,yes,yes,Yes,385000.0
373,78.0,83,3,1,Yes,No,No,No,No,No,No,120000.0
374,55.0,16,1,1,No,No,No,No,Yes,Yes,Yes,165000.0
375,58.0,17,2,1,No,No,No,No,Yes,Yes,No,185000.0
376,142.0,42,4,2,Yes,No,No,No,No,No,No,330000.0
377,118.0,16,2,1,Yes,No,No,No,Yes,Yes,No,400000.0
378,104.0,61,2,1,Yes,No,No,No,No,No,No,169000.0
379,100.0,31,3,1,Yes,No,No,No,Yes,Yes,No,275000.0
380,67.0,5,2,1,No,No,No,No,No,No,No,280000.0
381,132.0,42,3,2,No,No,No,No,Yes,Yes,No,265000.0
382,60.0,42,2,1,No,No,No,No,Yes,Yes,Yes,185000.0
383,136.0,42,5,2,No,No,No,No,Yes,Yes,No,365000.0
384,118.0,42,3,1,Yes,No,No,No,Yes,Yes,No,350000.0
385,92.0,33,2,1,No,No,No,No,No,No,No,185000.0
386,75.0,62,2,1,No,No,No,No,No,Yes,No,185000.0
387,97.4,21,2,2,No,No,No,No,Yes,Yes,Yes,350000.0
388,130.0,64,2,1,No,No,No,No,No,Yes,No,215000.0
389,145.0,28,5,2,Yes,No,No,No,No,Yes,No,220000.0
390,120.0,73,4,2,Yes,No,No,No,No,No,No,210000.0
391,102.0,42,3,2,Yes,No,No,No,No,Yes,Yes,330000.0
392,85.0,40,3,1,No,No,No,No,No,Yes,Yes,300000.0
393,70.0,30,1,1,Yes,No,No,No,No,Yes,Yes,185000.0
394,51.0,16,1,1,No,No,No,No,Yes,Yes,Yes,210000.0
395,80.0,33,2,1,No,No,No,No,No,No,No,119998.0
396,148.0,12,3,2,Yes,No,No,No,Yes,Yes,Yes,360000.0
397,107.0,42,2,1,Yes,No,No,No,No,Yes,Yes,335000.0
398,125.0,4,3,2,Yes,No,No,No,No,Yes,No,350000.0
